epoch,train_loss,val_loss,val_roc_auc_score
1,0.5557903558662423,0.545756995677948,0.8593651530730705
2,0.4779881730940215,0.3883499503135681,0.8730250865147544
3,0.457423223898961,0.3837720453739166,0.8762424403241678
4,0.4430158779289595,0.4695737063884735,0.8815604718785588
5,0.4266136863674873,0.4841914772987366,0.8770108461308833
6,0.41057829323722533,0.508938193321228,0.879459794133581
7,0.3994101439501642,0.551093578338623,0.8734507501630789
8,0.382214558841679,0.3946995139122009,0.8779395668181366
9,0.3605794330555542,0.4337541460990906,0.8691830574811769
10,0.34606216421729247,0.44928956031799316,0.8806759759859366
11,0.32360394316664814,0.4598366916179657,0.8679005384368746
12,0.30433756052801125,0.3799065053462982,0.8702886773469546
13,0.2798065813644045,0.39778417348861694,0.8637378796422215
14,0.25893083888545076,0.5154325366020203,0.8569549017656749
