epoch,train_loss,val_loss,val_roc_auc_score
1,0.6393111739672867,0.5538462996482849,0.7843150907487351
2,0.5568851212660472,0.49944621324539185,0.7983277630784942
3,0.5243748175162896,0.4830133020877838,0.8116383512045676
4,0.5100761701078976,0.48085179924964905,0.8226163951167433
5,0.4960402154454998,0.4645346403121948,0.8289409552987049
6,0.4836578547954559,0.5483747124671936,0.8293471197140603
7,0.47928043586366315,0.4463093876838684,0.8384219932228566
8,0.47232274366360083,0.4864036738872528,0.833507403797057
9,0.46466872247995117,0.43095794320106506,0.8377083043215894
10,0.46381068416670257,0.45015478134155273,0.8372789305110708
11,0.4586666603883108,0.48075366020202637,0.8368553590493432
12,0.45538280331620984,0.4484248757362366,0.8417757508239335
13,0.4498975267012914,0.4471801519393921,0.840957619644432
14,0.4457949830036537,0.4545852541923523,0.8398261616302279
15,0.44305135858993905,0.4543130099773407,0.8422225316808244
16,0.4359813666226817,0.46697452664375305,0.8387527271039317
17,0.43626525483879386,0.4925178289413452,0.8373891751380959
18,0.4344258379702475,0.4556178152561188,0.8410214454811309
19,0.43067919559338513,0.4427238702774048,0.8442301443624378
20,0.4232995865976109,0.44497519731521606,0.8436092930418233
21,0.4244292430433573,0.41415488719940186,0.8389209952188647
22,0.4201337616817624,0.47818902134895325,0.8391356821241238
23,0.4188589548947764,0.42651689052581787,0.8426635101889244
24,0.4140487483319114,0.4772600531578064,0.8448626003806341
25,0.414434897665884,0.42127859592437744,0.8429188135357193
26,0.40625939562040214,0.42078202962875366,0.8442504525832057
27,0.40412660895609387,0.44903838634490967,0.8387005059648146
28,0.4028653764257244,0.4247555732727051,0.8418627860557955
29,0.39700441629278893,0.444132924079895,0.843394606136564
30,0.401623227724842,0.44620954990386963,0.8468760154110384
31,0.388582739759894,0.44649985432624817,0.8457793714895789
32,0.3871374626370037,0.43029776215553284,0.8410098407835492
33,0.39002053200029857,0.4184734523296356,0.8435976883442418
34,0.3877271267713285,0.4390009939670563,0.843423617880518
35,0.38582552554560645,0.4623347818851471,0.8452049389592908
36,0.38274339343987257,0.5264162421226501,0.8367567191198998
37,0.380445042720028,0.5151982307434082,0.8323411316901081
38,0.377788852651914,0.43128499388694763,0.8382247133639698
39,0.37883641936031043,0.4542311131954193,0.8350508285754072
40,0.36590880488648136,0.47793468832969666,0.8358167386157915
