epoch,train_loss,val_loss,val_roc_auc_score
1,0.6457171373897128,0.532630205154419,0.8231232582261713
2,0.5708829879304002,0.46319884061813354,0.8319836538822029
3,0.5408299979807316,0.4477907121181488,0.8378385133530786
4,0.5239065352299205,0.46396833658218384,0.8413376823004537
5,0.5148675464578972,0.44996100664138794,0.842537397368125
6,0.5032616096666489,0.45848241448402405,0.8435371599245179
7,0.4939092790486712,0.4075007140636444,0.8449555730514002
8,0.48901977872483116,0.43305593729019165,0.8497356877741535
9,0.4775769642029686,0.4391556978225708,0.848848398505355
10,0.47649921585316857,0.4250892996788025,0.848882765343231
11,0.4731051809943042,0.4579431712627411,0.8514040415401343
12,0.4672062703875746,0.44421136379241943,0.8545657906247266
13,0.4598935267020916,0.417849600315094,0.8544533173371325
14,0.4575386248471865,0.46039852499961853,0.854790737199915
15,0.4539448188410865,0.3669244647026062,0.8528849398267911
16,0.44859082408791756,0.49766087532043457,0.8551781451905172
17,0.4485021125082769,0.37241649627685547,0.8565278246416477
18,0.44116024039257534,0.4073961079120636,0.851772703982804
19,0.43569059053371695,0.3964371383190155,0.8536347617440857
20,0.433367064030006,0.4432055950164795,0.8527912120871294
21,0.4372454731514627,0.40287014842033386,0.8530224071782951
22,0.4336181412597269,0.4215017259120941,0.8531473774978442
23,0.4319880235355019,0.4020204246044159,0.853322335945213
24,0.42660071829269675,0.3990344703197479,0.8524287981604368
25,0.42330147297446297,0.44531190395355225,0.8577337882252964
26,0.4190808120130122,0.4260276257991791,0.8547345005561179
27,0.41782551798327217,0.40515896677970886,0.8556655294367589
28,0.41661311708876,0.3680416941642761,0.8493545282995288
29,0.4138739567492657,0.4073590338230133,0.8557904997563078
30,0.4125594929488683,0.37608376145362854,0.8567902623127007
31,0.40705334437989643,0.38621556758880615,0.8537347379997251
32,0.40331802765528363,0.43407830595970154,0.8484547419987754
33,0.4054035133899857,0.4108435809612274,0.850016870993139
34,0.4011444822239236,0.381084680557251,0.8575838238418375
35,0.39756106179906947,0.3778061270713806,0.8523663130006623
