epoch,train_loss,val_loss,val_roc_auc_score
1,0.5662325152661651,0.5991021394729614,0.8343470369073018
2,0.5041792665142566,0.5148316025733948,0.854233671942171
3,0.47280513402074575,0.3904745280742645,0.8497754991561316
4,0.4487651651725173,0.441114604473114,0.8519249753208293
5,0.43828185671009123,0.41975709795951843,0.8500833253723105
6,0.41793990414589643,0.5239549279212952,0.8460550478192105
7,0.40481298323720694,0.4494084119796753,0.8518719018352812
8,0.38405408919788897,0.4455175995826721,0.8406309375961956
9,0.362629656214267,0.42995190620422363,0.8378711163476951
10,0.3405471704900265,0.4597567021846771,0.8319481153605282
11,0.31004700087942183,0.5006945133209229,0.8304514430680722
12,0.2820945377461612,0.5598074793815613,0.8340285959940132
