epoch,train_loss,val_loss,val_roc_auc_score
1,0.551710727118601,0.455642968416214,0.8492597874998619
2,0.4867555760727154,0.4358263909816742,0.8718752418543456
3,0.4472687114763448,0.6124953031539917,0.8681493029066746
4,0.4112339564782428,0.47521311044692993,0.8622563490220791
5,0.3757851929293843,0.4581051468849182,0.852184152044844
6,0.32203639820804747,0.495868444442749,0.8418576624984799
7,0.25122072310076926,0.47208529710769653,0.859884794409986
8,0.18902499972307307,0.6297119855880737,0.8326146804205778
9,0.16290440250510776,0.5231770277023315,0.845130297301182
10,0.10467097876358807,0.5892886519432068,0.8467279180072308
11,0.07964208054605608,0.6223994493484497,0.8365230466461021
12,0.05269774491852883,0.6946170330047607,0.8106515417869028
