epoch,train_loss,val_loss,val_roc_auc_score
1,0.5338304125187264,0.5011166334152222,0.8525725140279183
2,0.4824591899101199,0.5372143387794495,0.8552593758982241
3,0.4581727073769194,0.4482724666595459,0.8633761981529386
4,0.4415343965255368,0.493432879447937,0.8629887901623364
5,0.42201650382918726,0.37518060207366943,0.8503480423399443
6,0.3981326996221881,0.43593284487724304,0.8451305314987692
7,0.3669029994083,0.47452512383461,0.8302465664404703
8,0.33947446353147215,0.5136087536811829,0.8282033017158424
9,0.29914179239815347,0.4769277572631836,0.8342643622139742
10,0.2644003614454375,0.5894411206245422,0.806914607780652
11,0.22267148310887036,0.5590296983718872,0.8334083155250628
12,0.1937886157203573,0.6444525122642517,0.8278408877891499
13,0.15594591114012213,0.6381650567054749,0.8143690873417563
