epoch,train_loss,val_loss,val_roc_auc_score
1,0.5452298324089497,0.6074731349945068,0.8505822161364626
2,0.4851867255056277,0.49229833483695984,0.8453226337186468
3,0.446931331011001,0.5535625219345093,0.8512456347058137
4,0.41887114668497816,0.4221711754798889,0.8502850046173933
5,0.36355744971660897,0.38802340626716614,0.8615684276449171
6,0.3000269041513093,0.4395042955875397,0.846654778205904
7,0.2250005053501809,0.511909008026123,0.8412412826799988
8,0.17712314930395223,0.5357578992843628,0.8322718636223715
9,0.10268131398333935,0.7450274229049683,0.8224108100075364
10,0.09713740618917655,0.5893756747245789,0.8339224490229171
11,0.06041629841365648,0.575285792350769,0.8432793045250454
12,0.0507292661077372,0.6440145373344421,0.8403602628199004
13,0.05788073501025792,0.7003818154335022,0.8344478765298432
14,0.034258588362718,0.7781325578689575,0.8351431391905232
15,0.024366095562072587,0.9151927828788757,0.8272935706779606
